1 55
2 38
3 68
4 96
5 142
6 183
7 250
8 247
9 233
10 231
11 237
12 247
13 274
14 292
1 54
2 35
3 71
4 95
5 141
6 184
7 249
8 245
9 234
10 231
11 238
12 247
13 273
14 291
1 54
2 37
3 73
4 93
5 140
6 185
7 250
8 246
9 233
10 231
11 238
12 246
13 274
14 297
1 54
2 35
3 65
4 94
5 141
6 185
7 250
8 245
9 232
10 231
11 239
12 245
13 274
14 292
1 54
2 36
3 67
4 95
5 139
6 186
7 249
8 246
9 233
10 231
11 236
12 248
13 274
14 292
1 54
2 35
3 68
4 95
5 140
6 185
7 252
8 245
9 234
10 232
11 236
12 246
13 274
14 293
